"trip_id","trip_id_orig","observed","trip_date","julian_date_s","day_id","trip_duration","day_trip","group_type","pooled","harvest","forager_id","age_type","age_dist_1","age_dist_2","sex","dogs","gun","trip_year","a_1_id","a_1_sex","a_1_age_dist_1","a_1_age_dist_2","a_1_firearms"
1,1,NA,1984-03-24,-0.472316680799271,5196,5,1,"Independent",0,50,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
2,2,NA,1984-03-26,-0.472142615051997,5198,4,1,"Cooperative",0,40,20,"Exact",44,0,"M",0,0,1984,39,"F",36,0,0
3,3,NA,1984-01-12,-0.478583047701151,5124,1.5,1,"Independent",0,12,29,"Exact",29,0,"M",0,1,1984,NA,NA,NA,NA,NA
4,4,NA,1984-12-28,-0.448034509054487,5475,9,1,"Independent",0,45,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
5,5,NA,1984-01-07,-0.479018212069337,5119,6.5,1,"Cooperative",0,33,4,"Exact",21,0,"M",0,1,1984,46,"M",14,0,0
6,6,NA,1984-01-04,-0.479279310690249,5116,5,1,"Independent",0,9,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
7,7,NA,1983-01-28,-0.508957520600541,4775,3,1,"Independent",0,7,29,"Exact",28,0,"M",0,1,1983,NA,NA,NA,NA,NA
8,8,NA,1983-10-04,-0.487286335064873,5024,7,1,"Cooperative",1,26,21,"Exact",56,0,"M",1,0,1983,NA,NA,NA,NA,NA
8,8,NA,1983-10-04,-0.487286335064873,5024,7,1,"Cooperative",1,26,27,"Exact",34,0,"M",1,0,1983,NA,NA,NA,NA,NA
8,8,NA,1983-10-04,-0.487286335064873,5024,7,1,"Cooperative",1,26,43,"Exact",34,0,"M",1,0,1983,NA,NA,NA,NA,NA
8,8,NA,1983-10-04,-0.487286335064873,5024,7,1,"Cooperative",1,26,45,"Exact",26,0,"M",1,0,1983,NA,NA,NA,NA,NA
9,9,NA,1983-11-14,-0.483717987245747,5065,8,1,"Independent",0,15,4,"Exact",20,0,"M",0,1,1983,NA,NA,NA,NA,NA
10,10,NA,1983-11-16,-0.483543921498473,5067,8,1,"Independent",0,0,4,"Exact",20,0,"M",0,1,1983,NA,NA,NA,NA,NA
11,11,NA,1983-11-17,-0.483456888624836,5068,8,1,"Independent",0,0,4,"Exact",20,0,"M",0,1,1983,NA,NA,NA,NA,NA
12,12,NA,1983-11-18,-0.483369855751198,5069,5,1,"Independent",0,0,4,"Exact",20,0,"M",0,1,1983,NA,NA,NA,NA,NA
13,13,NA,1983-11-19,-0.483282822877561,5070,8,1,"Independent",0,0,4,"Exact",20,0,"M",0,1,1983,NA,NA,NA,NA,NA
14,14,NA,1983-11-28,-0.482499527014826,5079,8,1,"Independent",0,0,4,"Exact",20,0,"M",0,0,1983,NA,NA,NA,NA,NA
15,15,NA,1983-12-04,-0.481977329773003,5085,5,1,"Independent",0,0,4,"Exact",20,0,"M",0,1,1983,NA,NA,NA,NA,NA
16,16,NA,1983-12-07,-0.481716231152091,5088,5,1,"Independent",0,0,4,"Exact",20,0,"M",0,1,1983,NA,NA,NA,NA,NA
17,17,NA,1984-01-04,-0.479279310690249,5116,5,1,"Independent",0,50,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
18,18,NA,1984-01-05,-0.479192277816612,5117,5,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
19,19,NA,1984-01-06,-0.479105244942975,5118,5,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
20,20,NA,1984-01-07,-0.479018212069337,5119,5,1,"Independent",0,50,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
21,21,NA,1984-01-09,-0.478844146322063,5121,5,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
22,22,NA,1984-01-11,-0.478670080574788,5123,5,1,"Independent",0,25,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
23,23,NA,1984-01-13,-0.478496014827514,5125,5,1,"Independent",0,30,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
24,24,NA,1984-01-16,-0.478234916206602,5128,5,1,"Independent",0,40,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
25,25,NA,1984-01-18,-0.478060850459328,5130,8,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
26,26,NA,1984-01-21,-0.477799751838416,5133,5,1,"Independent",0,60,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
27,27,NA,1984-01-23,-0.477625686091142,5135,5,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
