Region,Sample,Mean_M,SD_M,Mean_F,SD_F
African,Nigeria,1.37,0.82,2.3,0.76
African,S. Africa (whites),0.94,0.78,1.73,0.78
African,S. Africa (Zulu),0.7,0.87,1.14,0.8
African,Zambia,1.46,0.9,2.33,0.62
Asian,China,1.1,0.98,1.56,0.94
Asian,India,1.6,0.96,2,0.69
Asian,Indonesia,1.42,0.87,2.55,0.57
Asian,Iran,1.25,1.04,2.04,0.85
Asian,Israel (Jewish),1.31,1.01,1.82,0.87
Asian,Israel (Palestinian),1.28,1.05,1.67,0.92
Asian,Japan,0.92,0.75,2.29,0.58
Asian,Taiwan,1.25,0.81,2.21,0.7
European-Eastern,Bulgaria,1.16,0.94,1.64,0.91
European-Eastern,Estonian S.S.R.,1.31,0.86,1.51,0.85
European-Eastern,Poland,1.09,0.82,1.74,0.8
European-Eastern,Yugoslavia,1.27,0.76,1.66,0.75
European-Western,Belgium,0.95,0.87,1.36,0.88
European-Western,France,1.22,0.97,1.68,0.92
European-Western,Finland,0.65,0.76,1.18,0.84
European-Western,Germany-West,1.14,0.88,1.81,0.93
European-Western,Great Britain,0.67,0.63,1.16,0.78
European-Western,Greece,1.16,0.95,1.92,0.78
European-Western,Ireland,0.82,0.95,1.67,0.77
European-Western,Italy,0.87,0.69,1.33,0.8
European-Western,Nethetlands,0.69,0.81,0.94,0.84
European-Western,Norway,1.1,0.84,1.42,0.97
European-Western,Spain,1.25,0.94,1.39,0.89
European-Western,Sweden,1.18,0.9,1.75,0.75
North American,Canada (English),1.02,0.82,1.91,0.76
North American,Canada (French),1.47,0.83,1.94,0.63
North American,USA (Mainland),1.08,0.88,1.96,0.82
North American,USA (Hawaii),1.5,0.81,2.1,0.72
Oceanian,Australia,0.69,0.73,1.54,0.8
Oceanian,New Zealand,1.35,0.97,1.63,0.75
South American,Brazil,1.24,0.89,1.91,0.78
South American,Colombia,1.72,0.9,2.21,0.75
South American,Venezuela,1.66,0.96,2.26,0.78
